date_term,telegram,model_name,output,flag,username,timestamp
2023-10-06,06061 34519 12997 62502 10130 20074 39945 40187 57009 60002 85031 333 20065 555 53002=,improve_dnn_model_3,,,,2023-10-06 09:19:53.509205
06061 34519 12997 62502 10130 20074 39945 40187 57009 60002 85031 333 20065 555 53002=,22.821507,,,2023-10-06 10:31:42.806564
